Alpha-3,Alpha-2,Language name,Native name,
abk,ab,Abkhazian,_____,
ace,,"Acehnese, Achinese",Bahsa Acèh,
ach,,Acoli,,
ada,,Adangme,adangb_,
ady,,"Adyghe, Adygei","________, ________",
aar,aa,Afar,Qafara,
afh,,Afrihili,,constructed
afr,af,Afrikaans,Afrikaans,
afa,,Afroasiatic languages,,collection
ain,,Ainu (Japan),___ ___(____) or ainu itak,
aka,ak,Akan,,macrolanguage
akk,,Akkadian,"akkadû, li__num akkad_tum",ancient
alb/sqi,sq,Albanian,Shqip,macrolanguage
ale,,Aleut,,
alg,,Algonquian languages,,collection
tut,,Altaic languages,,collection
amh,am,Amharic,____,
anp,,Angika,,
apa,,Apache languages,,collection
ara,ar,Arabic,_______,macrolanguage
arg,an,Aragonese,Aragonés,
arc,,"Official Aramaic, Imperial Aramaic (700–300 BC)",_____,ancient
arp,,Arapaho,Hinóno'eitíít,
arn,,"Mapudungun, Mapuche","mapudungun, mapuchedungun",
arw,,Arawak,,
arm/hye,hy,Armenian,_______ _____,
rup,,"Aromanian, Arumanian, Macedo-Romanian","Armãneashce, Armãneashti, Limba armãneascã",
art,,Artificial languages,,collection
asm,as,Assamese,_______,
ast,,"Asturian, Bable, Leonese, Asturleonese","asturianu, Bable, Llionés, Asturllionés",
ath,,Athabaskan languages,,collection
aus,,Australian languages,,collection
map,,Austronesian languages,,collection
ava,av,Avaric,"____ ____, ________ ____",
ave,ae,Avestan,avesta,ancient
awa,,Awadhi,____,
aym,ay,Aymara,aymar aru,macrolanguage
aze,az,Azerbaijani,Az_rbaycanca,macrolanguage
ban,,Balinese,Basa Bali,
bat,,Baltic languages,,collection
bal,,Baluchi,_____,macrolanguage
bam,bm,Bambara,bamanankan,
bai,,Bamileke languages,,collection
bad,,Banda languages,,collection
bnt,,Bantu languages,,collection
bas,,Basa,_asaá,
bak,ba,Bashkir,_______ ____,
baq/eus,eu,Basque,euskara,
btk,,Batak languages,Hata Batak,collection
bej,,"Beja, Bedawiyet",______,
bel,be,Belarusian,__________ ____,
bem,,Bemba,ichiBemba,
ben,bn,Bengali,_____,
ber,,Berber languages,,collection
bho,,Bhojpuri,_______,
bih,bh,Bihari (languages),,collection
bik,,Bikol,,macrolanguage
bin,,"Bini, Edo",Edo,
bis,bi,Bislama,Bislama,
byn,,"Blin, Bilin",___,
zbl,,"Blissymbols, Blissymbolics, Bliss",,constructed
bos,bs,Bosnian,bosanski jezik,
bra,,Braj,____ ____,
bre,br,Breton,brezhoneg,
bug,,Buginese,__ ____,
bul,bg,Bulgarian,_________ ____,
bua,,Buriat,______ _____,macrolanguage
bur/mya,my,Burmese,________,
cad,,Caddo,Hasí:nay,
car,,Galibi Carib,,
cat,ca,"Catalan, Valencian",català,
cau,,Caucasian languages,,collection
ceb,,Cebuano,Sinugboanon,
cel,,Celtic languages,,collection
cai,,Central American Indian languages,,collection
chg,,Chagatai,_____,extinct
cmc,,Chamic languages,,collection
cha,ch,Chamorro,Chamoru,
che,ce,Chechen,_______ ____,
chr,,Cherokee,___,
chy,,Cheyenne,Tsêhést,
chb,,Chibcha,,extinct
nya,ny,"Chichewa, Chewa, Nyanja","chiChe_a, chinyanja",
chi/zho,zh,Chinese,__,macrolanguage
chn,,Chinook Jargon,,
cho,,Choctaw,Chahta Anumpa,
chu,cu,"Church Slavonic, Church Slavic, Old Church Slavonic, Old Slavonic, Old Bulgarian",_____ __________,ancient
chk,,Chuukese,,
chv,cv,Chuvash,_____ _____,
nwc,,"Classical Newari, Old Newari, Classical Nepal Bhasa",,historic
syc,,Classical Syriac,,historic
cop,,Coptic,______________,extinct
cor,kw,Cornish,Kernewek,
cos,co,Corsican,"corsu, lingua corsa",
cre,cr,Cree,_______,macrolanguage
mus,,Creek,"Maskoki, Mvskok_ empunakv",
crp,,creoles and pidgins,,collection
cpe,,"creoles and pidgins, English-based",,collection
cpf,,"creoles and pidgins, French-based",,collection
cpp,,"creoles and pidgins, Portuguese-based",,collection
crh,,"Crimean Tatar, Crimean Turkish","qırımtatar tili, ___________ ____",
hrv,hr,Croatian,hrvatski jezik,
cus,,Cushitic languages,,collection
cze/ces,cs,Czech,"_e_tina (substantive), _esky (adverb)",
dak,,Dakota,Lakhota,
dan,da,Danish,dansk,
dar,,Dargwa,______ ___,
day,,Land Dayak languages,,collection
del,,Delaware,Lënape,macrolanguage
chp,,"Chipewyan, Dene Suline","Dëne S__iné, ______",
din,,Dinka,Thu__jä_,macrolanguage
div,dv,"Divehi, Dhivehi, Maldivian",_________,
doi,,Dogri,_____,macrolanguage
dgr,,Dogrib,T__ch_,
dra,,Dravidian languages,,collection
dua,,Duala,,
dut/nld,nl,"Dutch, Flemish",Nederlands,
dum,,"Dutch, Middle (ca. 1050–1350)",,historic
dyu,,Dyula,Julakan,
dzo,dz,Dzongkha,______,
efi,,Efik,,
egy,,Egyptian (Ancient),,ancient
eka,,Ekajuk,,
elx,,Elamite,,ancient
eng,en,English,English,
enm,,Middle English (1100–1500),English,historic
ang,,Old English (ca. 450–1100),Englisc,historic
myv,,Erzya,______ ____,
epo,eo,Esperanto,Esperanto,constructed
est,et,Estonian,eesti keel,macrolanguage
ewe,ee,Ewe,___gb_,
ewo,,Ewondo,,
fan,,Fang,,
fat,,Fanti,,
fao,fo,Faroese,føroyskt,
fij,fj,Fijian,vosa Vakaviti,
fil,,"Filipino, Pilipino",Wikang Filipino,
fin,fi,Finnish,"suomi, suomen kieli",
fiu,,Finno-Ugric languages,,collection
fon,,Fon,F_ngbe,
fre/fra,fr,French,"français, langue française",
frm,,Middle French (ca. 1400—1600),,historic
fro,,Old French (842—ca. 1400),,historic
frs,,Eastern Frisian,"Seeltersk Fräisk, Seeltersk, Fräisk",
frr,,Northern Frisian,,
fry,fy,Western Frisian,frysk,
fur,,Friulian,furlan,
ful,ff,Fulah,"Fulfulde, Pulaar, Pular",macrolanguage
gaa,,Ga,Gã,
glg,gl,Galician,Galego,
lug,lg,Ganda,Luganda,
gay,,Gayo,,
gba,,Gbaya,,macrolanguage
gez,,Ge'ez,___,ancient
geo/kat,ka,Georgian,_______ ___ (kartuli ena),
ger/deu,de,German,Deutsch,
gsw,,"Swiss German, Alemannic","Schwyzerdütsch, Alemannisch",
nds,,"Low German, Low Saxon","Nederdüütsch, Plattdüütsch",
gmh,,Middle High German (ca. 1050–1500),diutisk,historic
goh,,Old High German (ca. 750–1050),diutisc,historic
gem,,Germanic languages,,collection
gil,,"Gilbertese, Kiribati",taetae ni Kiribati,
gon,,Gondi,G_ndi,macrolanguage
gor,,Gorontalo,,
got,,Gothic,______,ancient
grb,,Grebo,,macrolanguage
grc,,Ancient Greek (–1453),________,historic
gre/ell,el,Modern Greek (1453–),________,
kal,kl,"Greenlandic, Kalaallisut","kalaallisut, kalaallit oqaasii",
grn,gn,Guarani,Avañe'_,macrolanguage
guj,gu,Gujarati,_______,
gwi,,Gwich_in,,
hai,,Haida,X_aat Kíl,macrolanguage
hat,ht,"Haitian Creole, Haitian",Kreyòl ayisyen,
hau,ha,Hausa,"Hausanc_, ______",
haw,,Hawaiian,‘_lelo Hawai‘i,
heb,he,Hebrew,"________, _____",
her,hz,Herero,Otjiherero,
hil,,Hiligaynon,Ilonggo,
him,,Himachali,,collection
hin,hi,Hindi,______,
hmo,ho,Hiri Motu,Hiri Motu,
hit,,Hittite,,ancient
hmn,,Hmong,Hmoob,macrolanguage
hun,hu,Hungarian,magyar,
hup,,Hupa,Na:tinixwe Mixine:whe,
iba,,Iban,,
ice/isl,is,Icelandic,íslenska,
ido,io,Ido,Ido,constructed
ibo,ig,Igbo,Igbo,
ijo,,Ijo languages,,collection
